id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
4562881,1953 D,Coins Lincoln Wheat Penny,488,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4612465,1976,Coins Washington Quarter,33338,Ungraded,Normal wear,,,0,79,2026-02-16,,,,
4619498,1974 D,Coins Roosevelt Dime,170,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4613533,1971,Coins Kennedy Half Dollar,1450,Ungraded,Normal wear,,,0,5,2026-02-16,,,,
4563386,1904,Coins Indian Head Penny,3075,Ungraded,Normal wear,,,0,3,2026-02-16,,,,
4619430,1945,Coins Mercury Dime,608,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4619909,1961 D,Coins Jefferson Nickel,6200,Ungraded,Normal wear,,,0,40,2026-02-17,,,,
4611749,1971,Coins Eisenhower Dollar,1298,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4613561,1985 D,Coins Kennedy Half Dollar,323,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4611725,1923,Coins Peace Dollar,17115,Ungraded,Normal wear,,,0,3,2026-02-16,,,,
4612431,1956,Coins Washington Quarter,5788,Ungraded,Normal wear,,,0,4,2026-02-16,,,,
4612400,1945,Coins Washington Quarter,3939,Ungraded,Normal wear,,,0,3,2026-02-28,,,,
4612426,1954,Coins Washington Quarter,3094,Ungraded,Normal wear,,,0,2,2026-02-16,,,,
4612434,1957 D,Coins Washington Quarter,2802,Ungraded,Normal wear,,,0,2,2026-03-01,,,,
4612441,1961,Coins Washington Quarter,3891,Ungraded,Normal wear,,,0,3,2026-02-16,,,,
4562884,1954 D,Coins Lincoln Wheat Penny,370,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4619427,1944,Coins Mercury Dime,1000,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4562890,1956,Coins Lincoln Wheat Penny,590,Ungraded,Normal wear,,,0,2,2026-02-20,,,,
4612388,1941,Coins Washington Quarter,7200,Ungraded,Normal wear,,,0,4,2026-02-16,,,,
4562806,1930,Coins Lincoln Wheat Penny,888,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4612440,1960 D,Coins Washington Quarter,1500,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4612385,1940,Coins Washington Quarter,1556,Ungraded,Normal wear,,,0,1,2026-02-28,,,,
4612402,1945 S,Coins Washington Quarter,1510,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
4562816,1934,Coins Lincoln Wheat Penny,506,Ungraded,Normal wear,,,0,1,2026-02-20,,,,
4619487,1969,Coins Roosevelt Dime,353,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4611779,1979 D,Coins Susan B Anthony Dollar,2673,Ungraded,Normal wear,,,0,9,2026-02-16,,,,
4563389,1907,Coins Indian Head Penny,700,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4563356,1875,Coins Indian Head Penny,974,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4612391,1942,Coins Washington Quarter,9144,Ungraded,Normal wear,,,0,6,2026-02-28,,,,
4563379,1897,Coins Indian Head Penny,1223,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4619485,1968,Coins Roosevelt Dime,192,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4613527,1965,Coins Kennedy Half Dollar,3450,Ungraded,Normal wear,,,0,3,2026-02-16,,,,
4612404,1946 D,Coins Washington Quarter,1985,Ungraded,Normal wear,,,0,1,2026-03-02,,,,
4613530,1968 D,Coins Kennedy Half Dollar,5165,Ungraded,Normal wear,,,0,5,2026-02-16,,,,
4619484,1967,Coins Roosevelt Dime,194,Ungraded,Normal wear,,,0,1,2026-02-26,,,,
4612446,1963 D,Coins Washington Quarter,5424,Ungraded,Normal wear,,,0,4,2026-03-01,,,,
4563359,1878,Coins Indian Head Penny,2081,Ungraded,Normal wear,,,0,1,2026-02-16,,,,
4619908,1961,Coins Jefferson Nickel,178,Ungraded,Normal wear,,,0,1,2026-02-27,,,,
4612396,1943 S,Coins Washington Quarter,1998,Ungraded,Normal wear,,,0,1,2026-03-01,,,,
